title,prices,features,booking_start,organizing
"
Not Furnished 3 BHK Apartment for Sale in Hyder Nagar
Teja Janakirama Towers




















 Similar Properties,Hyder Nagar

New Booking

 56.85 L         

 6247 per sq.ft. Carpet Area

","
 56.85 L         ","


Carpet Area

              910 sq.ft (84.54 sq.m) 

                    @ 6247 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Nacharam
Sri Bhavani BK Towers




















 Similar Properties,Nacharam

New Booking

 61.37 L         

 5919 per sq.ft. Carpet Area

","
 61.37 L         ","


Carpet Area

              1037 sq.ft (96.34 sq.m) 

                    @ 5919 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Tukkuguda
Urban Heights




















 Similar Properties,Tukkuguda

New Booking

 43.14 L         

 3751 per sq.ft. Carpet Area

","
 43.14 L         ","


Carpet Area

              1150 sq.ft (106.84 sq.m) 

                    @ 3751 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Kompally
Modi Sterling Heights




















 Similar Properties,Kompally

New Booking

 71.61 L         

 4374 per sq.ft. Carpet Area

","
 71.61 L         ","


Carpet Area

              1637 sq.ft (152.08 sq.m) 

                    @ 4374 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 4+ BHK Apartment for Sale in Attapur
Kedias Sunrise Towers




















 Similar Properties,Attapur

New Booking

 1.06 Cr         

 6019 per sq.ft. Carpet Area

","
 1.06 Cr         ","


Carpet Area

              1761 sq.ft (163.6 sq.m) 

                    @ 6019 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Kompally
Modi Sterling Heights




















 Similar Properties,Kompally

New Booking

 48.76 L         

 4377 per sq.ft. Carpet Area

","
 48.76 L         ","


Carpet Area

              1114 sq.ft (103.49 sq.m) 

                    @ 4377 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Patighanpur
Hallmark Vesta




















 Similar Properties,Patighanpur

New Booking

 63.10 L         

 4623 per sq.ft. Carpet Area

","
 63.10 L         ","


Carpet Area

              1365 sq.ft (126.81 sq.m) 

                    @ 4623 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Kondapur
BSCPL Bollineni Bion




















 Similar Properties,Kondapur

New Booking

 1.01 Cr         

 9813 per sq.ft. Carpet Area

","
 1.01 Cr         ","


Carpet Area

              1032 sq.ft (95.88 sq.m) 

                    @ 9813 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Serilingampally
Neela Kanta Nilayam




















 Similar Properties,Serilingampally

New Booking

 1.11 Cr         

 8753 per sq.ft. Carpet Area

","
 1.11 Cr         ","


Carpet Area

              1270 sq.ft (117.99 sq.m) 

                    @ 8753 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Bowrampet
Sivadeep Sankalp




















 Similar Properties,Bowrampet

New Booking

 55 L         

 5500 per sq.ft. Carpet Area

","
 55 L         ","


Carpet Area

              1000 sq.ft (92.9 sq.m) 

                    @ 5500 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Alwal
Aabharana Residency




















 Similar Properties,Alwal

New Booking

 48.82 L         

 5624 per sq.ft. Carpet Area

","
 48.82 L         ","


Carpet Area

              868 sq.ft (80.64 sq.m) 

                    @ 5624 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Patancheru
Sai Balaji Residency Patancheru




















 Similar Properties,Patancheru

New Booking

 46 L         

 5569 per sq.ft. Carpet Area

","
 46 L         ","


Carpet Area

              826 sq.ft (76.74 sq.m) 

                    @ 5569 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Upperpally
Riddhi S Elite




















 Similar Properties,Upperpally

New Booking

 99.50 L         

 6765 per sq.ft. Carpet Area

","
 99.50 L         ","


Carpet Area

              1471 sq.ft (136.66 sq.m) 

                    @ 6765 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Bandlaguda Jagir
SMR Vinay Boulder Woods




















 Similar Properties,Bandlaguda Jagir

New Booking

 95.75 L         

 6874 per sq.ft. Carpet Area

","
 95.75 L         ","


Carpet Area

              1393 sq.ft (129.41 sq.m) 

                    @ 6874 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Peerancheru
Pbel City Tower L - Opal




















 Similar Properties,Peerancheru

New Booking

 71.87 L         

 5950 per sq.ft. Carpet Area

","
 71.87 L         ","


Carpet Area

              1208 sq.ft (112.23 sq.m) 

                    @ 5950 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Kompally
SV Gardenia




















 Similar Properties,Kompally

New Booking

 52.65 L         

 5625 per sq.ft. Carpet Area

","
 52.65 L         ","


Carpet Area

              936 sq.ft (86.96 sq.m) 

                    @ 5625 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Bahadurpally
Praneeth Pranav Flora




















 Similar Properties,Bahadurpally

New Booking

 48.41 L         

 6255 per sq.ft. Carpet Area

","
 48.41 L         ","


Carpet Area

              774 sq.ft (71.91 sq.m) 

                    @ 6255 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Kompally
Beccun Lifestyle




















 Similar Properties,Kompally

New Booking

 45.12 L         

 5002 per sq.ft. Carpet Area

","
 45.12 L         ","


Carpet Area

              902 sq.ft (83.8 sq.m) 

                    @ 5002 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Bachupally
Fortune Mayura




















 Similar Properties,Bachupally

New Booking

 68 L         

 7128 per sq.ft. Carpet Area

","
 68 L         ","


Carpet Area

              954 sq.ft (88.63 sq.m) 

                    @ 7128 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
3BHK Apartment for Sale in Kondapur
Incor Viva City




















 Similar Properties,Kondapur

New Booking

 1.41 Cr         

 7622 per sq.ft. Carpet Area

","
 1.41 Cr         ","


Carpet Area

              1850 sq.ft (171.87 sq.m) 

                    @ 7622 /-                


Possession On
Dec'23


Floor
4


Bathrooms
3



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+30 more

",Posted : 25 days ago,"
Agent : 
Ramana
"
"
 2 BHK Apartment for Sale in Adibatla
AVLS G K Residency




















 Similar Properties,Adibatla

New Booking

 42.73 L         

 4379 per sq.ft. Carpet Area

","
 42.73 L         ","


Carpet Area

              976 sq.ft (90.67 sq.m) 

                    @ 4379 /-                


Possession On
NA


Floor
Ground Floor


Bathrooms
1


",Posted : 26 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
 3 BHK Apartment for Sale in Nizampet Road
Bommarillu Apartments




















 Similar Properties,Nizampet Road

New Booking

 27.95 L         

 2688 per sq.ft. Carpet Area

","
 27.95 L         ","


Carpet Area

              1040 sq.ft (96.62 sq.m) 

                    @ 2688 /-                


Possession On
NA


Floor
Ground Floor


Bathrooms
3



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      


",Posted : 26 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Karmanghat
JNR Om Shri Jrc Residency




















 Similar Properties,Karmanghat

New Booking

 53 L         

 6625 per sq.ft. Carpet Area

","
 53 L         ","


Carpet Area

              800 sq.ft (74.32 sq.m) 

                    @ 6625 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Karmanghat
NMR Flemingo




















 Similar Properties,Karmanghat

New Booking

 57.26 L         

 6874 per sq.ft. Carpet Area

","
 57.26 L         ","


Carpet Area

              833 sq.ft (77.39 sq.m) 

                    @ 6874 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Bahadurpally
Praneeth Pranav Flora




















 Similar Properties,Bahadurpally

New Booking

 62.98 L         

 6163 per sq.ft. Carpet Area

","
 62.98 L         ","


Carpet Area

              1022 sq.ft (94.95 sq.m) 

                    @ 6163 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Punjagutta
Citizen Kapoor Towers




















 Similar Properties,Punjagutta

New Booking

 2.18 Cr         

 9998 per sq.ft. Carpet Area

","
 2.18 Cr         ","


Carpet Area

              2182 sq.ft (202.71 sq.m) 

                    @ 9998 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Uppal
Elements White Riviera




















 Similar Properties,Uppal

New Booking

 86.65 L         

 6872 per sq.ft. Carpet Area

","
 86.65 L         ","


Carpet Area

              1261 sq.ft (117.15 sq.m) 

                    @ 6872 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Nagole
Jai Santoshimata Vaasavi Brundavanam II




















 Similar Properties,Nagole

New Booking

 56.10 L         

 6247 per sq.ft. Carpet Area

","
 56.10 L         ","


Carpet Area

              898 sq.ft (83.43 sq.m) 

                    @ 6247 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Manikonda
Amrutha Hills




















 Similar Properties,Manikonda

New Booking

 89.32 L         

 7250 per sq.ft. Carpet Area

","
 89.32 L         ","


Carpet Area

              1232 sq.ft (114.46 sq.m) 

                    @ 7250 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Nagole
Jai Santoshimata Vaasavi Brundavanam II




















 Similar Properties,Nagole

New Booking

 39.50 L         

 6250 per sq.ft. Carpet Area

","
 39.50 L         ","


Carpet Area

              632 sq.ft (58.71 sq.m) 

                    @ 6250 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Adibatla
Jayashekara Angaraka Nilayam




















 Similar Properties,Adibatla

New Booking

 31.54 L         

 3800 per sq.ft. Carpet Area

","
 31.54 L         ","


Carpet Area

              830 sq.ft (77.11 sq.m) 

                    @ 3800 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Miyapur
Garuda Lemon Tree




















 Similar Properties,Miyapur

New Booking

 54.79 L         

 4875 per sq.ft. Carpet Area

","
 54.79 L         ","


Carpet Area

              1124 sq.ft (104.42 sq.m) 

                    @ 4875 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 4 BHK Apartment for Sale in Kondapur
BSCPL Bollineni Bion




















 Similar Properties,Kondapur

New Booking

 2.85 Cr         

 10656 per sq.ft. Carpet Area

","
 2.85 Cr         ","


Carpet Area

              2680 sq.ft (248.98 sq.m) 

                    @ 10656 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 4 BHK Apartment for Sale in Upperpally
Riddhi S Elite




















 Similar Properties,Upperpally

New Booking

 1.70 Cr         

 6764 per sq.ft. Carpet Area

","
 1.70 Cr         ","


Carpet Area

              2528 sq.ft (234.86 sq.m) 

                    @ 6764 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Alwal
Aabharana Residency




















 Similar Properties,Alwal

New Booking

 47.79 L         

 5622 per sq.ft. Carpet Area

","
 47.79 L         ","


Carpet Area

              850 sq.ft (78.97 sq.m) 

                    @ 5622 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Hayat Nagar
TMR Ramjitha Residency




















 Similar Properties,Hayat Nagar

New Booking

 99.21 L         

 4750 per sq.ft. Carpet Area

","
 99.21 L         ","


Carpet Area

              2089 sq.ft (194.07 sq.m) 

                    @ 4750 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 1 BHK Apartment for Sale in Keesara
Viya Sindhu One




















 Similar Properties,Keesara

New Booking

 16.56 L         

 5128 per sq.ft. Carpet Area

","
 16.56 L         ","


Carpet Area

              323 sq.ft (30.01 sq.m) 

                    @ 5128 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Ameenpur
Aditi Murthys Pride




















 Similar Properties,Ameenpur

New Booking

 45.67 L         

 5625 per sq.ft. Carpet Area

","
 45.67 L         ","


Carpet Area

              812 sq.ft (75.44 sq.m) 

                    @ 5625 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Vattepally
Kainkarya Siri




















 Similar Properties,Vattepally

New Booking

 46.20 L         

 5000 per sq.ft. Carpet Area

","
 46.20 L         ","


Carpet Area

              924 sq.ft (85.84 sq.m) 

                    @ 5000 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Manikonda
RR Signature




















 Similar Properties,Manikonda

New Booking

 1.05 Cr         

 6875 per sq.ft. Carpet Area

","
 1.05 Cr         ","


Carpet Area

              1532 sq.ft (142.33 sq.m) 

                    @ 6875 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Kompally
Beccun Lifestyle




















 Similar Properties,Kompally

New Booking

 67.60 L         

 5000 per sq.ft. Carpet Area

","
 67.60 L         ","


Carpet Area

              1352 sq.ft (125.6 sq.m) 

                    @ 5000 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 3 BHK Apartment for Sale in Nagole
Jai Santoshimata Vaasavi Brundavanam II




















 Similar Properties,Nagole

New Booking

 37 L         

 6250 per sq.ft. Carpet Area

","
 37 L         ","


Carpet Area

              592 sq.ft (55 sq.m) 

                    @ 6250 /-                


Possession On
NA


Floor
2


Bathrooms
2


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Semi Furnished 2BHK Villa for Sale in Adibatla
Adibatla

New Booking

 71.50 L         

 8125 per sq.ft. Carpet Area

","
 71.50 L         ","


Carpet Area

              880 sq.ft (81.75 sq.m) 

                    @ 8125 /-                


Possession On
Ready To Move


Bathrooms
3



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+18 more

",Posted : 26 days ago,"
Agent : 
Ramu
"
"
3BHK Apartment for Sale in Bandlaguda Jagir
Vaishnavi Oasis




















 Similar Properties,Bandlaguda Jagir

New Booking

 98.77 L         

 7438 per sq.ft. Carpet Area

","
 98.77 L         ","


Carpet Area

              1328 sq.ft (123.38 sq.m) 

                    @ 7438 /-                


Possession On
Ready To Move


Floor
9


Bathrooms
3



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+15 more

",Posted : 10 days ago,"
Agent : 
Rnaveen
"
"
3BHK Apartment for Sale in Kondapur
Incor Viva City




















 Similar Properties,Kondapur

New Booking

 1.41 Cr         

 7622 per sq.ft. Carpet Area

","
 1.41 Cr         ","


Carpet Area

              1850 sq.ft (171.87 sq.m) 

                    @ 7622 /-                


Possession On
Dec'23


Floor
4


Bathrooms
3



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+30 more

",Posted : 25 days ago,"
Agent : 
Ramana
"
"
Not Furnished 2 BHK Apartment for Sale in Malkajgiri
Jai Bhavaani Avenue




















 Similar Properties,Malkajgiri

New Booking

 73.62 L         

 7363 per sq.ft. Carpet Area

","
 73.62 L         ","


Carpet Area

              1000 sq.ft (92.9 sq.m) 

                    @ 7363 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
 1 BHK Apartment for Sale in Gowdavalli
Saket Pranamam




















 Similar Properties,Gowdavalli

New Booking

 18.90 L         

 5745 per sq.ft. Carpet Area

","
 18.90 L         ","


Carpet Area

              329 sq.ft (30.57 sq.m) 

                    @ 5745 /-                


Possession On
NA


Floor
Ground Floor


Bathrooms
1


",Posted : 26 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Gopanpally
Honer Aquantis




















 Similar Properties,Gopanpally

New Booking

 85.66 L         

 7845 per sq.ft. Carpet Area

","
 85.66 L         ","


Carpet Area

              1092 sq.ft (101.45 sq.m) 

                    @ 7845 /-                


Possession On
NA


Floor
2


Bathrooms
1


",Posted : 4 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
3BHK Apartment for Sale in Ameenpur
Ameenpur

New Booking

 66 L         

 5375 per sq.ft. Carpet Area

","
 66 L         ","


Carpet Area

              1228 sq.ft (114.08 sq.m) 

                    @ 5375 /-                


Possession On
Nov'22


Floor
3


Bathrooms
3



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+13 more

",Posted : 18 days ago,"
Agent : 
Narayan
"
